2017-05-27 19:21:18	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	46
2017-05-27 19:21:18	IP	 216.58.207.78 	443	 172.261.0.12 	28061	tcp	0
2017-05-27 19:21:18	IP	 216.58.207.78 	443	 172.261.0.12 	28061	tcp	46
2017-05-27 19:21:18	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	0
2017-05-27 19:21:19	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	242
2017-05-27 19:21:19	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	732
2017-05-27 19:21:19	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	1368
2017-05-27 19:21:19	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	802
2017-05-27 19:21:19	IP	 216.58.207.78 	443	 172.261.0.12 	28061	tcp	0
2017-05-27 19:21:19	IP	 216.58.207.78 	443	 172.261.0.12 	28061	tcp	73
2017-05-27 19:21:19	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	0
2017-05-27 19:21:19	IP	 216.58.207.78 	443	 172.261.0.12 	28061	tcp	46
2017-05-27 19:21:19	IP	 172.261.0.12 	28061	 216.58.207.78 	443	tcp	46
2017-05-27 19:21:25	IP	 172.261.0.12 	37852	 92.123.194.212 	80	tcp	0
2017-05-27 19:21:25	IP	 92.123.194.212 	80	 172.261.0.12 	37852	tcp	0
2017-05-27 19:21:29	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	60
2017-05-27 19:21:29	IP	 172.261.0.12 	10251	 64.233.166.189 	443	tcp	0
2017-05-27 19:21:35	IP	 172.261.0.12 	37852	 92.123.194.212 	80	tcp	0
2017-05-27 19:21:35	IP	 92.123.194.212 	80	 172.261.0.12 	37852	tcp	0
2017-05-27 19:21:45	IP	 172.261.0.12 	37852	 92.123.194.212 	80	tcp	0
2017-05-27 19:21:45	IP	 92.123.194.212 	80	 172.261.0.12 	37852	tcp	0
2017-05-27 19:21:54	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	60
2017-05-27 19:21:54	IP	 172.261.0.12 	10251	 64.233.166.189 	443	tcp	0
2017-05-27 19:21:54	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	38
2017-05-27 19:21:54	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	46
2017-05-27 19:21:54	IP	 172.261.0.12 	10251	 64.233.166.189 	443	tcp	46
2017-05-27 19:21:54	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	0
2017-05-27 19:21:54	IP	 172.261.0.12 	10251	 64.233.166.189 	443	tcp	376
2017-05-27 19:21:55	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	72
2017-05-27 19:21:55	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	60
2017-05-27 19:21:55	IP	 172.261.0.12 	10251	 64.233.166.189 	443	tcp	0
2017-05-27 19:21:55	IP	 172.261.0.12 	37852	 92.123.194.212 	80	tcp	0
2017-05-27 19:21:56	IP	 92.123.194.212 	80	 172.261.0.12 	37852	tcp	0
2017-05-27 19:22:02	IP	 64.233.166.189 	443	 172.261.0.12 	10251	tcp	133
2017-05-27 19:22:02	IP	 172.261.0.12 	10251	 64.233.166.189 	443	tcp	0
2017-05-27 19:22:06	IP	 172.261.0.12 	37852	 92.123.194.212 	80	tcp	0
2017-05-27 19:22:06	IP	 92.123.194.212 	80	 172.261.0.12 	37852	tcp	0
2017-05-27 19:22:15	IP	 172.261.0.12 	40855	 172.217.20.99 	443	tcp	46
2017-05-27 19:22:15	IP	 172.217.20.99 	443	 172.261.0.12 	40855	tcp	0
2017-05-27 19:22:15	IP	 172.217.20.99 	443	 172.261.0.12 	40855	tcp	46
2017-05-27 19:22:15	IP	 172.261.0.12 	40855	 172.217.20.99 	443	tcp	0
2017-05-27 19:22:16	IP	 172.261.0.12 	37852	 92.123.194.212 	80	tcp	0
2017-05-27 19:22:16	IP	 92.123.194.212 	80	 172.261.0.12 	37852	tcp	0
2017-05-27 19:22:16	IP	 172.261.0.12 	40855	 172.217.20.99 	443	tcp	240
2017-05-27 19:22:16	IP	 172.217.20.99 	443	 172.261.0.12 	40855	tcp	72
2017-05-27 19:22:16	IP	 172.261.0.12 	40855	 172.217.20.99 	443	tcp	0
2017-05-27 19:22:16	IP	 172.217.20.99 	443	 172.261.0.12 	40855	tcp	46
